TimeStamp,PreviousTimeStamp,DoorRotation,PreviousDoorRotation,topAngle,XPosition,YPosition,ZPosition,Inside/Outside,AngleOfParticipant,DeltaTheta,Radius,ClosestAngleToDoor,TTC
1.087824,1.060691,9.30773,10.52875,1.2210168838501,0.244112,1.374726,1.901786,0,277.3145,91.99329,1.91738947532719,91.99329,0.206837489133824
1.115098,1.087824,8.080404,9.30773,1.22732543945313,0.2480349,1.374974,1.901997,0,277.4299,90.65054,1.91810194221185,90.65054,0.179564504709507
1.142505,1.115098,6.847115,8.080404,1.23328971862793,0.2515836,1.374832,1.902541,0,277.5328,89.31427,1.91910319176304,89.31427,0.152158189644986
1.170209,1.142505,5.600424,6.847115,1.24669075012207,0.255009,1.37471,1.902876,0,277.6329,87.96756,1.91988678955431,87.96756,0.124453862508138
1.197785,1.170209,4.359484,5.600424,1.24094009399414,0.2589644,1.374053,1.903187,0,277.7486,86.6109,1.92072508688647,86.6109,0.0968778347630452
1.225588,1.197785,3.108373,4.359484,1.25111103057861,0.2626925,1.372869,1.903256,0,277.8585,85.24991,1.92129915418395,85.24991,0.0690749486287435
1.253922,1.225588,1.833347,3.108373,1.27502524852753,0.2668759,1.370786,1.902992,0,277.9831,83.85025,1.92161414267949,83.85025,0.0407408942343775
1.281579,1.253922,0.588749,1.833347,1.24459844827652,0.2697507,1.368907,1.902436,0,278.0703,82.51843,1.92146522332512,82.51843,0.0130833128016922
1.309351,1.281579,359.3391,0.588749,1.24969869852066,0.2721345,1.367436,1.901971,0,278.1426,81.19641,1.92134051140138,81.19641,7.9853560277663
1.33706,1.309351,358.0921,359.3391,1.24691772460938,0.2740223,1.366298,1.900927,0,278.2028,79.88934,1.92057568932457,79.88934,7.95762652989809
1.364808,1.33706,356.8435,358.0921,1.2486572265625,0.2752627,1.365648,1.899563,0,278.2452,78.59824,1.91940295365516,78.59824,7.92990345963752
1.392744,1.364808,355.5863,356.8435,1.25714111328125,0.275776,1.365259,1.897895,0,278.2676,77.31876,1.91782640639832,77.31876,7.90174694757135
1.420622,1.392744,354.3318,355.5863,1.25448608398438,0.275059,1.364908,1.895679,0,278.2559,76.07596,1.91553028815338,76.07596,7.87406950306434
1.448613,1.420622,353.0722,354.3318,1.25961303710938,0.2734471,1.364809,1.893314,0,278.2183,74.85397,1.91295850990494,74.85397,7.84605338178932
1.47639,1.448613,351.8223,353.0722,1.24996948242188,0.2713427,1.36494,1.891029,0,278.1656,73.65668,1.91039721991425,73.65668,7.81829941200847
1.504113,1.47639,350.5748,351.8223,1.24749755859375,0.2678999,1.365687,1.888151,0,278.0755,72.49927,1.90706146275686,72.49927,7.79060400224629
1.532256,1.504113,349.3083,350.5748,1.26644897460938,0.2631114,1.36629,1.884433,0,277.9485,71.35986,1.90271303677483,71.35986,7.76243339489993
1.559931,1.532256,348.0629,349.3083,1.24539184570313,0.2564243,1.367139,1.880685,0,277.7642,70.29874,1.89808593642289,70.29874,7.73456957535432
1.588129,1.559931,346.794,348.0629,1.26889038085938,0.2485684,1.368926,1.876993,0,277.5437,69.25031,1.89338037397743,69.25031,7.70668691885976
1.616573,1.588129,345.5141,346.794,1.27996826171875,0.238996,1.370966,1.873602,0,277.2694,68.24469,1.88878364192835,68.24469,7.67811043608894
1.644358,1.616573,344.2637,345.5141,1.25033569335938,0.2288048,1.372664,1.871659,0,276.9697,67.29407,1.88559253223241,67.29407,7.65032268123902
1.672376,1.644358,343.0029,344.2637,1.26083374023438,0.2184681,1.374867,1.87072,0,276.661,66.34189,1.88343339096622,66.34189,7.62220737431769
1.700299,1.672376,341.7464,343.0029,1.25653076171875,0.2083425,1.376651,1.870363,0,276.356,65.39032,1.88193149650662,65.39032,7.59435365553496
1.728459,1.700299,340.4792,341.7464,1.26718139648438,0.1993231,1.379052,1.871014,0,276.0809,64.39828,1.8816015605344,64.39828,7.56624472761098
1.756411,1.728459,339.2213,340.4792,1.25784301757813,0.1906255,1.38068,1.871813,0,275.8149,63.4064,1.88149464753527,63.4064,7.53835067887966
1.784034,1.756411,337.9783,339.2213,1.2430419921875,0.1830191,1.382227,1.872881,0,275.5813,62.39703,1.88180232451054,62.39703,7.51047263288678
1.811806,1.784034,336.7285,337.9783,1.249755859375,0.1759247,1.383972,1.87337,0,275.3648,61.36374,1.8816122799109,61.36374,7.48284444702244
